id,imdb_score_binned
1,2
2,2
3,0
4,0
5,1
6,2
7,4
8,1
9,2
10,3
11,0
12,0
13,2
14,3
15,0
16,2
17,0
18,2
19,2
20,1
21,3
22,2
23,4
24,2
25,2
26,2
27,3
28,2
29,2
30,3
31,3
32,2
33,1
34,2
35,1
36,3
37,1
38,3
39,0
40,2
41,4
42,0
43,2
44,2
45,3
46,3
47,2
48,1
49,2
50,2
51,3
52,2
53,2
54,3
55,0
56,4
57,3
58,2
59,0
60,1
61,3
62,2
63,2
64,2
65,2
66,3
67,1
68,1
69,2
70,2
71,0
72,2
73,4
74,3
75,2
76,4
77,2
78,1
79,2
80,1
81,2
82,2
83,1
84,1
85,1
86,3
87,0
88,1
89,3
90,1
91,2
92,2
93,2
94,1
95,1
96,1
97,3
98,2
99,2
100,3
101,3
102,2
103,0
104,2
105,3
106,3
107,2
108,2
109,2
110,1
111,2
112,2
113,3
114,1
115,1
116,0
117,2
118,3
119,2
120,3
121,2
122,3
123,2
124,3
125,2
126,3
127,0
128,2
129,2
130,3
131,3
132,4
133,2
134,2
135,1
136,1
137,2
138,3
139,2
140,4
141,3
142,3
143,0
144,3
145,3
146,2
147,3
148,3
149,3
150,3
151,1
152,3
153,2
154,3
155,2
156,2
157,2
158,2
159,3
160,2
161,2
162,2
163,3
164,0
165,1
166,2
167,2
168,3
169,1
170,2
171,1
172,2
173,2
174,2
175,2
176,3
177,0
178,2
179,1
180,3
181,0
182,0
183,2
184,3
185,3
186,3
187,2
188,2
189,3
190,1
191,2
192,0
193,3
194,2
195,1
196,3
197,0
198,0
199,1
200,2
201,2
202,3
203,2
204,2
205,1
206,3
207,2
208,2
209,3
210,3
211,1
212,3
213,4
214,3
215,0
216,2
217,3
218,2
219,2
220,2
221,2
222,3
223,0
224,2
225,2
226,3
227,0
228,2
229,3
230,2
231,3
232,2
233,2
234,3
235,0
236,0
237,2
238,3
239,1
240,3
241,3
242,1
243,4
244,3
245,2
246,1
247,2
248,3
249,2
250,4
251,2
252,3
253,4
254,2
255,1
256,0
257,2
258,2
259,2
260,3
261,0
262,0
263,2
264,0
265,2
266,3
267,2
